Title	URL	Assignees	Status	Sprint	Weight	Milestone	Linked pull requests	Repository	Date
Fix de Login component	https://github.com/SchoolSyncAr/schoolsync-fe/issues/90	madescoces	Done	Sprint 4	1	SPRINT 4		SchoolSyncAr/schoolsync-fe	
Fix a logout para borrar info de usuario de memoria	https://github.com/SchoolSyncAr/schoolsync-fe/issues/94	francopolesel	Done	Sprint 4	2	SPRINT 4		SchoolSyncAr/schoolsync-fe	
Documentacion: postman collection con token	https://github.com/SchoolSyncAr/schoolsync-be/issues/62	picsfrunk	Done	Sprint 4	1	SPRINT 4	https://github.com/SchoolSyncAr/schoolsync-be/pull/65	SchoolSyncAr/schoolsync-be	
Notificacion Leida/No Leida	https://github.com/SchoolSyncAr/schoolsync-be/issues/63	JuanTexeira	Done	Sprint 4	2	SPRINT 4		SchoolSyncAr/schoolsync-be	
Notificacion Leida/No Leida, Pinneada/No Pinneada	https://github.com/SchoolSyncAr/schoolsync-fe/issues/96	JuanTexeira	Done	Sprint 4	2	SPRINT 4	https://github.com/SchoolSyncAr/schoolsync-fe/pull/98	SchoolSyncAr/schoolsync-fe	
Documentacion: emprolijar y crear backlog para Sprint 5	https://github.com/SchoolSyncAr/schoolsync-be/issues/64	picsfrunk	Done	Sprint 5	4	SPRINT 5		SchoolSyncAr/schoolsync-be	
Agregar fecha a card Notification	https://github.com/SchoolSyncAr/schoolsync-fe/issues/97	francopolesel	Done	Sprint 4	2	SPRINT 4	https://github.com/SchoolSyncAr/schoolsync-fe/pull/99	SchoolSyncAr/schoolsync-fe	
Bugfix volver button routing	https://github.com/SchoolSyncAr/schoolsync-fe/issues/102	JuanTexeira	Done	Sprint 4	1	SPRINT 4		SchoolSyncAr/schoolsync-fe	
Errormsg component as component	https://github.com/SchoolSyncAr/schoolsync-fe/issues/105	francopolesel	Done	Sprint 5	1	SPRINT 5		SchoolSyncAr/schoolsync-fe	
Update a notification icon en navbar cuando marcas una notif como leida	https://github.com/SchoolSyncAr/schoolsync-fe/issues/108	JuanTexeira	Done	Sprint 5	2	SPRINT 5		SchoolSyncAr/schoolsync-fe	
Admin: Modificar Crear Notificacion	https://github.com/SchoolSyncAr/schoolsync-fe/issues/109	Lopez-Sol	Done	Sprint 5	2	SPRINT 5	https://github.com/SchoolSyncAr/schoolsync-fe/pull/128	SchoolSyncAr/schoolsync-fe	
Adaptar entidades a nuevo DER	https://github.com/SchoolSyncAr/schoolsync-be/issues/69	madescoces	Done	Sprint 5	3	SPRINT 5		SchoolSyncAr/schoolsync-be	
Crear endpoint de Lista de Hijos por Padre	https://github.com/SchoolSyncAr/schoolsync-be/issues/70	francopolesel	Done	Sprint 5	1	SPRINT 5		SchoolSyncAr/schoolsync-be	
Crear enpoint de Padres por curso	https://github.com/SchoolSyncAr/schoolsync-be/issues/71	francopolesel	Done	Sprint 5	1	SPRINT 5		SchoolSyncAr/schoolsync-be	
Restyling Searchbar	https://github.com/SchoolSyncAr/schoolsync-fe/issues/110	madescoces	Done	Sprint 5	2	SPRINT 5		SchoolSyncAr/schoolsync-fe	
Agregar modals de confirmación de borrado	https://github.com/SchoolSyncAr/schoolsync-fe/issues/111	JuanTexeira	In Review	Sprint 5	1	SPRINT 5		SchoolSyncAr/schoolsync-fe	
Padre: Crear componente Drag&Drop para archivar notificaciones leidas	https://github.com/SchoolSyncAr/schoolsync-fe/issues/112	calipast	Archived		3			SchoolSyncAr/schoolsync-fe	
Test endpoints: Notificaciones	https://github.com/SchoolSyncAr/schoolsync-be/issues/72	francopolesel	Done	Sprint 5	3	SPRINT 5		SchoolSyncAr/schoolsync-be	
Test endpoints: Auth	https://github.com/SchoolSyncAr/schoolsync-be/issues/73	madescoces	Done	Sprint 5	3	SPRINT 5		SchoolSyncAr/schoolsync-be	
Test endpoints: User	https://github.com/SchoolSyncAr/schoolsync-be/issues/74	calipast	Todo	Sprint 5	3	SPRINT 5		SchoolSyncAr/schoolsync-be	
