Title	URL	Assignees	Status	Milestone	Sprint	Weight	Creation Date	Done Date
Documentacion: descripción de la incorporación de la metodología al desarrollo del proyecto	https://github.com/SchoolSyncAr/schoolsync-be/issues/89	picsfrunk	Done	SPRINT 5	Sprint 5	1.0	2024-06-21T19:50:20Z	2024-06-23T20:57:58Z
Documentacion: Riesgos y matriz FODA	https://github.com/SchoolSyncAr/schoolsync-be/issues/90	picsfrunk	Done	SPRINT 5	Sprint 5	1.0	2024-06-21T19:50:41Z	2024-06-27T22:49:59Z
Documentacion: diagrama de diseño de solución y DER.	https://github.com/SchoolSyncAr/schoolsync-be/issues/92	picsfrunk	Done	SPRINT 5	Sprint 5	1.0	2024-06-21T19:51:49Z	2024-06-27T23:13:17Z
Documentacion: Actualizar alcance / requerimientos	https://github.com/SchoolSyncAr/schoolsync-be/issues/93	picsfrunk	Done	SPRINT 5	Sprint 5	1.0	2024-06-21T19:52:23Z	2024-06-23T04:48:37Z
Carpeta de Proyecto	https://github.com/SchoolSyncAr/schoolsync-be/issues/94	picsfrunk	Done	SPRINT 5	Sprint 5	2.0	2024-06-21T19:56:49Z	2024-06-27T23:23:08Z
Vista Admin: mejorar vista de listado de padres	https://github.com/SchoolSyncAr/schoolsync-fe/issues/139	Lopez-Sol	Done	SPRINT 5	Sprint 5	2.0	2024-06-22T15:57:38Z	2024-06-23T17:32:45Z
Vista Admin: mejorar vista listado de estudiantes	https://github.com/SchoolSyncAr/schoolsync-fe/issues/140	Lopez-Sol	Done	SPRINT 5	Sprint 5	1.0	2024-06-22T16:04:36Z	2024-06-23T17:32:37Z
Vista Padre: mejorar vista de Hijos	https://github.com/SchoolSyncAr/schoolsync-fe/issues/141	Lopez-Sol	Done	SPRINT 5	Sprint 5	1.0	2024-06-22T16:07:10Z	2024-06-23T17:32:28Z
Tooltip end of searchField	https://github.com/SchoolSyncAr/schoolsync-fe/issues/143	JuanTexeira	Done	SPRINT 5	Sprint 5	1.0	2024-06-22T16:10:43Z	2024-06-25T01:28:40Z
Bug Fixes and Code Coverage	https://github.com/SchoolSyncAr/schoolsync-fe/issues/156	madescoces	Done	SPRINT 5	Sprint 5	1.0	2024-06-26T01:16:30Z	2024-06-26T01:27:04Z
Creación de test de inicialización de create notification	https://github.com/SchoolSyncAr/schoolsync-fe/issues/157	Lopez-Sol	Done	SPRINT 5	Sprint 5	1.0	2024-06-26T01:28:46Z	2024-06-26T01:29:03Z
